     val	     bit	   bytes	 enc_min	 enc_med	 enc_avg	enc_sdev	 enc_max	 dec_min	 dec_med	 dec_avg	dec_sdev	 dec_max
   2^0-1	       0	       8	  0.2325	  0.2344	  0.2382	  0.0358	  1.4295	  0.9259	  0.9314	  0.9379	  0.0548	  2.8181
   2^1-1	       1	       8	  0.2325	  0.2332	  0.2378	  0.0307	  0.7904	  0.9259	  0.9260	  0.9338	  0.0522	  3.2458
   2^2-1	       2	       8	  0.2325	  0.2332	  0.2351	  0.0181	  0.6140	  0.9259	  0.9265	  0.9336	  0.0350	  1.4289
   2^3-1	       3	       8	  0.2313	  0.2332	  0.2363	  0.0210	  0.5665	  0.9204	  0.9265	  0.9351	  0.0357	  1.4459
   2^4-1	       4	       8	  0.2313	  0.2332	  0.2345	  0.0172	  0.5219	  0.9204	  0.9259	  0.9316	  0.0371	  1.7682
   2^5-1	       5	       8	  0.2313	  0.2332	  0.2347	  0.0179	  0.5560	  0.9204	  0.9259	  0.9315	  0.0328	  1.3019
   2^6-1	       6	       8	  0.2313	  0.2332	  0.2361	  0.0220	  0.7093	  0.9204	  0.9265	  0.9360	  0.0472	  2.1577
   2^7-1	       7	       8	  0.2325	  0.2332	  0.2363	  0.0310	  1.7261	  0.9259	  0.9265	  0.9347	  0.0412	  1.9415
   2^8-1	       8	       8	  0.2313	  0.2332	  0.2359	  0.0211	  0.6116	  0.9204	  0.9265	  0.9327	  0.0301	  1.3715
   2^9-1	       9	       8	  0.2313	  0.2325	  0.2349	  0.0211	  0.5975	  0.9204	  0.9259	  0.9301	  0.0323	  1.3623
  2^10-1	      10	       8	  0.2313	  0.2332	  0.2355	  0.0227	  1.1108	  0.9204	  0.9265	  0.9355	  0.0582	  2.8735
  2^11-1	      11	       8	  0.2325	  0.2332	  0.2417	  0.0397	  0.7220	  0.9259	  0.9265	  0.9425	  0.0613	  1.7688
  2^12-1	      12	       8	  0.2313	  0.2332	  0.2361	  0.0230	  0.7959	  0.9204	  0.9265	  0.9335	  0.0334	  1.4130
  2^13-1	      13	       8	  0.2313	  0.2332	  0.2364	  0.0235	  0.5096	  0.9204	  0.9259	  0.9333	  0.0438	  2.4469
  2^14-1	      14	       8	  0.2313	  0.2332	  0.2358	  0.0226	  0.5713	  0.9204	  0.9259	  0.9322	  0.0373	  1.5601
