     val	     bit	   bytes	 enc_min	 enc_med	 enc_avg	enc_sdev	 enc_max	 dec_min	 dec_med	 dec_avg	dec_sdev	 dec_max
   2^0-1	       0	       2	  0.4608	  0.4645	  0.4709	  0.0394	  1.1230	  0.9210	  0.9266	  0.9367	  0.0441	  1.7707
   2^1-1	       1	       2	  0.4633	  0.4639	  0.4723	  0.0439	  1.0431	  0.9259	  0.9265	  0.9372	  0.0482	  1.6797
   2^2-1	       2	       2	  0.4639	  0.4639	  0.4691	  0.0349	  0.9974	  0.9259	  0.9265	  0.9342	  0.0390	  1.5387
   2^3-1	       3	       2	  0.4639	  0.4645	  0.4697	  0.0329	  0.9332	  0.9259	  0.9271	  0.9362	  0.0396	  1.4758
   2^4-1	       4	       2	  0.4633	  0.4663	  0.4703	  0.0355	  0.9320	  0.9259	  0.9314	  0.9372	  0.0445	  2.0770
   2^5-1	       5	       2	  0.4633	  0.4663	  0.5108	  0.1342	  1.6791	  0.9259	  0.9320	  0.9806	  0.1464	  3.9117
   2^6-1	       6	       2	  0.4633	  0.4663	  0.4695	  0.0338	  0.9106	  0.9259	  0.9314	  0.9352	  0.0386	  1.4789
   2^7-1	       7	       2	  0.4608	  0.4663	  0.4693	  0.0324	  0.9540	  0.9210	  0.9314	  0.9351	  0.0375	  1.6125
   2^8-1	       8	       2	  0.4639	  0.4645	  0.4683	  0.0301	  0.9766	  0.9259	  0.9265	  0.9338	  0.0384	  1.5186
   2^9-1	       9	       3	  0.4639	  0.4645	  0.4683	  0.0296	  0.9094	  0.9259	  0.9265	  0.9345	  0.0427	  2.2565
  2^10-1	      10	       3	  0.4639	  0.4645	  0.4683	  0.0307	  0.9259	  0.9259	  0.9265	  0.9342	  0.0398	  1.6351
  2^11-1	      11	       3	  0.4639	  0.4645	  0.4688	  0.0311	  0.9528	  0.9259	  0.9265	  0.9349	  0.0385	  1.5436
  2^12-1	      12	       3	  0.4633	  0.4669	  0.4874	  0.0799	  1.2280	  0.9259	  0.9320	  0.9522	  0.0751	  1.9501
  2^13-1	      13	       3	  0.4639	  0.4669	  0.4743	  0.0510	  1.6376	  0.9259	  0.9320	  0.9407	  0.0470	  1.4777
  2^14-1	      14	       3	  0.4639	  0.4669	  0.4712	  0.0396	  1.6578	  0.9259	  0.9320	  0.9372	  0.0384	  1.8049
  2^15-1	      15	       3	  0.4608	  0.4639	  0.4732	  0.0505	  1.0114	  0.9210	  0.9266	  0.9380	  0.0474	  1.3800
  2^16-1	      16	       3	  0.4633	  0.4645	  0.4728	  0.0496	  1.3007	  0.9259	  0.9266	  0.9382	  0.0517	  1.8134
  2^17-1	      17	       4	  0.4639	  0.4639	  0.4724	  0.0488	  0.9521	  0.9259	  0.9265	  0.9376	  0.0505	  1.5381
  2^18-1	      18	       4	  0.4633	  0.4663	  0.4738	  0.0523	  1.5753	  0.9259	  0.9314	  0.9387	  0.0479	  1.3983
  2^19-1	      19	       4	  0.4633	  0.4645	  0.4728	  0.0481	  0.9357	  0.9259	  0.9265	  0.9388	  0.0501	  1.4185
  2^20-1	      20	       4	  0.4633	  0.4645	  0.4728	  0.0477	  0.9442	  0.9259	  0.9266	  0.9382	  0.0468	  1.6559
  2^21-1	      21	       4	  0.4633	  0.4669	  0.4730	  0.0443	  1.1157	  0.9259	  0.9320	  0.9402	  0.0463	  1.6425
  2^22-1	      22	       4	  0.4639	  0.4669	  0.4700	  0.0310	  0.9235	  0.9259	  0.9320	  0.9358	  0.0332	  1.3624
  2^23-1	      23	       4	  0.4608	  0.4645	  0.4682	  0.0250	  0.8527	  0.9210	  0.9266	  0.9342	  0.0323	  1.3068
  2^24-1	      24	       4	  0.4639	  0.4645	  0.4692	  0.0312	  0.8967	  0.9259	  0.9266	  0.9351	  0.0376	  1.4868
  2^25-1	      25	       5	  0.4608	  0.4645	  0.4689	  0.0297	  0.8679	  0.9210	  0.9266	  0.9351	  0.0365	  1.4655
  2^26-1	      26	       5	  0.4608	  0.4645	  0.4689	  0.0291	  0.8759	  0.9210	  0.9266	  0.9352	  0.0365	  1.4246
  2^27-1	      27	       5	  0.4608	  0.4645	  0.4704	  0.0391	  1.1853	  0.9210	  0.9265	  0.9353	  0.0393	  1.4197
  2^28-1	      28	       5	  0.4633	  0.4645	  0.4701	  0.0514	  2.8729	  0.9259	  0.9265	  0.9352	  0.0415	  1.9928
  2^29-1	      29	       5	  0.4633	  0.4645	  0.4692	  0.0319	  0.9448	  0.9259	  0.9265	  0.9352	  0.0365	  1.4410
  2^30-1	      30	       5	  0.4608	  0.4645	  0.4689	  0.0324	  0.9967	  0.9210	  0.9265	  0.9344	  0.0371	  1.3800
  2^31-1	      31	       5	  0.4639	  0.4645	  0.4699	  0.0390	  1.6949	  0.9259	  0.9265	  0.9359	  0.0537	  3.1525
  2^32-1	      32	       5	  0.4633	  0.4663	  0.4734	  0.0536	  2.1399	  0.9259	  0.9320	  0.9390	  0.0493	  2.0941
