     val	     bit	   bytes	 enc_min	 enc_med	 enc_avg	enc_sdev	 enc_max	 dec_min	 dec_med	 dec_avg	dec_sdev	 dec_max
   2^0-1	       0	       1	  0.2307	  0.2325	  0.2344	  0.0228	  1.1506	  0.9204	  0.9259	  0.9326	  0.0401	  1.5924
   2^1-1	       1	       1	  0.2325	  0.2338	  0.2359	  0.0209	  0.5988	  0.9259	  0.9314	  0.9369	  0.0412	  1.4203
   2^2-1	       2	       1	  0.2325	  0.2338	  0.2353	  0.0187	  0.6555	  0.9259	  0.9314	  0.9356	  0.0363	  1.3574
   2^3-1	       3	       1	  0.2307	  0.2332	  0.2347	  0.0148	  0.5005	  0.9204	  0.9265	  0.9349	  0.0380	  1.4423
   2^4-1	       4	       1	  0.2313	  0.2338	  0.2357	  0.0209	  0.6757	  0.9204	  0.9314	  0.9374	  0.0468	  1.7999
   2^5-1	       5	       1	  0.2325	  0.2338	  0.2353	  0.0165	  0.5713	  0.9259	  0.9314	  0.9375	  0.0391	  1.6412
   2^6-1	       6	       1	  0.2307	  0.2338	  0.2351	  0.0291	  1.8604	  0.9204	  0.9314	  0.9345	  0.0342	  1.3489
   2^7-1	       7	       1	  0.2307	  0.2325	  0.2343	  0.0149	  0.5664	  0.9204	  0.9265	  0.9331	  0.0331	  1.3037
   2^8-1	       8	       2	  0.4608	  0.4639	  0.4662	  0.0183	  0.9033	  1.3800	  1.3885	  1.3995	  0.0548	  2.1191
   2^9-1	       9	       2	  0.4633	  0.4639	  0.4670	  0.0215	  0.8618	  1.3879	  1.3885	  1.3987	  0.0520	  2.2290
  2^10-1	      10	       2	  0.4633	  0.4639	  0.4668	  0.0196	  0.8069	  1.3879	  1.3885	  1.3989	  0.0493	  2.5153
  2^11-1	      11	       2	  0.4633	  0.4639	  0.4668	  0.0219	  0.9735	  1.3879	  1.3885	  1.4005	  0.0613	  2.8095
  2^12-1	      12	       3	  0.6946	  0.6989	  0.7026	  0.0297	  1.0919	  0.9259	  0.9314	  0.9373	  0.0426	  1.4758
  2^13-1	      13	       3	  0.6946	  0.6952	  0.7006	  0.0264	  1.1023	  0.9259	  0.9265	  0.9356	  0.0415	  1.7401
  2^14-1	      14	       3	  0.6946	  0.6953	  0.7029	  0.0549	  3.5632	  0.9259	  0.9266	  0.9424	  0.0699	  2.5842
  2^15-1	      15	       3	  0.6946	  0.6989	  0.7031	  0.0301	  1.1743	  0.9259	  0.9314	  0.9404	  0.0517	  1.5930
  2^16-1	      16	       3	  0.6946	  0.6989	  0.7019	  0.0289	  1.2347	  0.9259	  0.9314	  0.9371	  0.0448	  1.6156
  2^17-1	      17	       4	  0.6946	  0.6989	  0.7045	  0.0352	  1.1810	  1.1566	  1.1639	  1.1718	  0.0444	  1.6656
  2^18-1	      18	       4	  0.6946	  0.6989	  0.7051	  0.0347	  1.1780	  1.1566	  1.1639	  1.1741	  0.0551	  2.3816
  2^19-1	      19	       4	  0.6946	  0.6989	  0.7054	  0.0375	  1.1536	  1.1566	  1.1639	  1.1740	  0.0624	  3.3496
  2^20-1	      20	       4	  0.6946	  0.6989	  0.7057	  0.0374	  1.1884	  1.1566	  1.1639	  1.1741	  0.0542	  2.2797
  2^21-1	      21	       4	  0.6946	  0.6989	  0.7059	  0.0516	  2.7698	  1.1566	  1.1639	  1.1725	  0.0454	  1.6577
  2^22-1	      22	       4	  0.6946	  0.6989	  0.7046	  0.0332	  1.2091	  1.1566	  1.1639	  1.1725	  0.0465	  1.8622
  2^23-1	      23	       4	  0.6946	  0.6989	  0.7054	  0.0429	  2.1503	  1.1566	  1.1639	  1.1736	  0.0619	  3.5852
  2^24-1	      24	       4	  0.6946	  0.6989	  0.7051	  0.0366	  1.3696	  1.1566	  1.1639	  1.1731	  0.0475	  1.8353
  2^25-1	      25	       5	  0.4633	  0.4663	  0.4740	  0.0542	  2.2192	  0.9259	  0.9314	  0.9420	  0.0578	  1.6071
  2^26-1	      26	       5	  0.4633	  0.4663	  0.4739	  0.0485	  1.1755	  0.9259	  0.9314	  0.9416	  0.0558	  1.6590
  2^27-1	      27	       5	  0.4633	  0.4663	  0.4732	  0.0448	  0.9833	  0.9259	  0.9314	  0.9413	  0.0560	  1.6821
  2^28-1	      28	       5	  0.4633	  0.4663	  0.4730	  0.0441	  0.9644	  0.9259	  0.9314	  0.9419	  0.0621	  2.5793
  2^29-1	      29	       5	  0.4633	  0.4663	  0.4734	  0.0498	  1.8323	  0.9259	  0.9314	  0.9418	  0.0591	  2.0374
  2^30-1	      30	       5	  0.4633	  0.4663	  0.4733	  0.0491	  1.6296	  0.9259	  0.9314	  0.9408	  0.0557	  1.4716
  2^31-1	      31	       5	  0.4633	  0.4663	  0.4724	  0.0419	  0.9357	  0.9259	  0.9314	  0.9412	  0.0587	  2.0124
  2^32-1	      32	       5	  0.4633	  0.4663	  0.4718	  0.0370	  0.9167	  0.9259	  0.9314	  0.9398	  0.0556	  2.7350
  2^33-1	      33	       6	  0.6946	  0.6989	  0.7037	  0.0303	  1.1584	  1.1572	  1.1639	  1.1739	  0.0554	  1.9995
  2^34-1	      34	       6	  0.6946	  0.6989	  0.7041	  0.0330	  1.1664	  1.1566	  1.1639	  1.1734	  0.0562	  2.0245
  2^35-1	      35	       6	  0.6946	  0.6989	  0.7034	  0.0335	  1.2225	  1.1566	  1.1639	  1.1716	  0.0542	  2.4109
  2^36-1	      36	       6	  0.6946	  0.6989	  0.7029	  0.0290	  1.1987	  1.1566	  1.1639	  1.1725	  0.0531	  1.9031
  2^37-1	      37	       6	  0.6946	  0.6989	  0.7037	  0.0399	  2.4890	  1.1566	  1.1639	  1.1736	  0.0563	  2.0300
  2^38-1	      38	       6	  0.6946	  0.6989	  0.7033	  0.0291	  1.2024	  1.1566	  1.1639	  1.1728	  0.0536	  1.9629
  2^39-1	      39	       6	  0.6946	  0.6989	  0.7032	  0.0306	  1.1877	  1.1566	  1.1639	  1.1733	  0.0551	  2.0331
  2^40-1	      40	       6	  0.6946	  0.6989	  0.7032	  0.0302	  1.1462	  1.1566	  1.1639	  1.1746	  0.0626	  2.5671
  2^41-1	      41	       7	  0.6946	  0.6989	  0.7046	  0.0370	  1.9178	  1.0413	  1.0480	  1.0588	  0.0520	  2.2473
  2^42-1	      42	       7	  0.6989	  0.6989	  0.7037	  0.0308	  1.2390	  1.0474	  1.0480	  1.0575	  0.0463	  1.9189
  2^43-1	      43	       7	  0.6989	  0.6989	  0.7044	  0.0313	  1.2433	  1.0474	  1.0480	  1.0568	  0.0459	  2.0844
  2^44-1	      44	       7	  0.6989	  0.6989	  0.7036	  0.0294	  1.2672	  1.0474	  1.0480	  1.0559	  0.0450	  2.1448
  2^45-1	      45	       7	  0.6989	  0.6995	  0.7055	  0.0444	  2.3932	  1.0474	  1.0480	  1.0576	  0.0435	  1.7804
  2^46-1	      46	       7	  0.6946	  0.6989	  0.7042	  0.0367	  2.0655	  1.0413	  1.0480	  1.0556	  0.0446	  1.8268
  2^47-1	      47	       7	  0.6989	  0.6995	  0.7129	  0.0535	  1.3031	  1.0474	  1.0480	  1.0742	  0.0967	  2.0129
  2^48-1	      48	       7	  0.6946	  0.6995	  0.7053	  0.0309	  1.1456	  1.0413	  1.0480	  1.0591	  0.0542	  2.7613
  2^49-1	      49	       8	  0.9259	  0.9314	  0.9389	  0.0585	  3.8385	  1.3879	  1.3965	  1.4072	  0.0541	  2.6331
  2^50-1	      50	       8	  0.9314	  0.9375	  1.0141	  0.1344	  1.8530	  1.3965	  1.4050	  1.5685	  0.2881	  3.0359
  2^51-1	      51	       8	  0.9259	  0.9320	  0.9388	  0.0371	  1.9489	  1.3879	  1.3965	  1.4075	  0.0476	  2.6697
  2^52-1	      52	       8	  0.9259	  0.9314	  0.9368	  0.0338	  1.4374	  1.3879	  1.3965	  1.4030	  0.0384	  2.0740
  2^53-1	      53	       8	  0.9259	  0.9314	  0.9372	  0.0333	  1.3519	  1.3879	  1.3965	  1.4032	  0.0397	  2.0135
  2^54-1	      54	       8	  0.9314	  0.9315	  0.9367	  0.0305	  1.4185	  1.3965	  1.3965	  1.4062	  0.0488	  2.1252
  2^55-1	      55	       8	  0.9259	  0.9315	  0.9370	  0.0316	  1.4093	  1.3879	  1.3965	  1.4044	  0.0408	  2.1552
  2^56-1	      56	       8	  0.9259	  0.9314	  0.9367	  0.0329	  1.3989	  1.3879	  1.3965	  1.4043	  0.0430	  2.1815
  2^57-1	      57	       9	  0.4663	  0.4663	  0.4695	  0.0228	  0.8417	  0.9314	  0.9314	  0.9393	  0.0462	  1.6382
  2^58-1	      58	       9	  0.4663	  0.4663	  0.4696	  0.0236	  0.8630	  0.9314	  0.9314	  0.9397	  0.0450	  1.6461
  2^59-1	      59	       9	  0.4663	  0.4663	  0.4708	  0.0274	  0.9247	  0.9314	  0.9315	  0.9415	  0.0511	  2.5110
  2^60-1	      60	       9	  0.4663	  0.4663	  0.4705	  0.0254	  0.9497	  0.9314	  0.9314	  0.9414	  0.0491	  2.1063
  2^61-1	      61	       9	  0.4663	  0.4663	  0.4702	  0.0247	  0.8301	  0.9314	  0.9314	  0.9405	  0.0481	  1.9873
  2^62-1	      62	       9	  0.4663	  0.4663	  0.4698	  0.0228	  0.8765	  0.9314	  0.9314	  0.9405	  0.0469	  2.0386
  2^63-1	      63	       9	  0.4663	  0.4663	  0.4716	  0.0342	  1.6174	  0.9314	  0.9315	  0.9412	  0.0458	  1.5649
  2^64-1	      64	       9	  0.4663	  0.4669	  0.4704	  0.0239	  0.8221	  0.9314	  0.9320	  0.9415	  0.0485	  2.2040
