     val	     bit	   bytes	 enc_min	 enc_med	 enc_avg	enc_sdev	 enc_max	 dec_min	 dec_med	 dec_avg	dec_sdev	 dec_max
   2^0-1	       0	       1	  0.2325	  0.2338	  0.2365	  0.0213	  0.6268	  1.3507	  1.3605	  1.3710	  0.0599	  2.8839
   2^1-1	       1	       1	  0.2325	  0.2338	  0.2368	  0.0220	  0.6201	  1.3513	  1.3605	  1.3729	  0.0596	  2.8406
   2^2-1	       2	       1	  0.2325	  0.2338	  0.2363	  0.0218	  0.6537	  1.3513	  1.3605	  1.3688	  0.0511	  2.4200
   2^3-1	       3	       1	  0.2338	  0.2338	  0.2368	  0.0231	  0.5927	  1.3580	  1.3605	  1.3705	  0.0500	  2.0520
   2^4-1	       4	       1	  0.2338	  0.2338	  0.2360	  0.0185	  0.7007	  1.3586	  1.3605	  1.3715	  0.0512	  1.9977
   2^5-1	       5	       1	  0.2338	  0.2338	  0.2368	  0.0229	  0.6250	  1.3580	  1.3605	  1.3696	  0.0493	  2.4011
   2^6-1	       6	       1	  0.2338	  0.2338	  0.2358	  0.0172	  0.5487	  1.3580	  1.3605	  1.3701	  0.0505	  2.1246
   2^7-1	       7	       1	  0.2325	  0.2338	  0.2365	  0.0223	  0.6964	  1.3525	  1.3605	  1.3697	  0.0489	  2.1857
   2^8-1	       8	       2	  0.7568	  0.7574	  0.7621	  0.0282	  1.1615	  2.1179	  2.1234	  2.1372	  0.0613	  3.2617
   2^9-1	       9	       2	  0.7568	  0.7574	  0.7628	  0.0331	  1.3629	  2.1191	  2.1234	  2.1374	  0.0547	  2.7253
  2^10-1	      10	       2	  0.7568	  0.7574	  0.7621	  0.0268	  1.2519	  2.1191	  2.1235	  2.1381	  0.0571	  3.2117
  2^11-1	      11	       2	  0.7568	  0.7574	  0.7615	  0.0262	  1.2103	  2.1191	  2.1234	  2.1367	  0.0656	  4.0985
  2^12-1	      12	       2	  0.7526	  0.7574	  0.7614	  0.0290	  1.3629	  2.1106	  2.1234	  2.1343	  0.0534	  3.0585
  2^13-1	      13	       2	  0.7568	  0.7574	  0.7613	  0.0257	  1.1658	  2.1185	  2.1235	  2.1356	  0.0623	  3.9832
  2^14-1	      14	       2	  0.7526	  0.7574	  0.7617	  0.0300	  1.3605	  2.1100	  2.1234	  2.1338	  0.0504	  3.0182
  2^15-1	      15	       3	  1.1572	  1.1646	  1.2575	  0.1189	  1.8829	  2.9260	  2.9504	  2.9659	  0.0763	  4.5142
  2^16-1	      16	       3	  1.1572	  1.1640	  1.2537	  0.1447	  2.5879	  2.9266	  2.9456	  2.9763	  0.1199	  4.8761
  2^17-1	      17	       3	  1.1572	  1.1646	  1.2612	  0.1195	  1.8195	  2.9279	  2.9504	  2.9644	  0.0634	  4.2102
  2^18-1	      18	       3	  1.1572	  1.1646	  1.2770	  0.1225	  2.0398	  2.9272	  2.9462	  2.9622	  0.0617	  4.0637
  2^19-1	      19	       3	  1.1572	  1.3965	  1.3233	  0.1159	  2.1387	  2.9248	  2.9456	  2.9591	  0.0598	  4.0649
  2^20-1	      20	       3	  1.1572	  1.3959	  1.3000	  0.1240	  2.0966	  2.9279	  2.9456	  2.9593	  0.0617	  4.5759
  2^21-1	      21	       3	  1.1572	  1.3965	  1.3246	  0.1159	  2.1485	  2.9261	  2.9456	  2.9610	  0.0710	  4.0656
  2^22-1	      22	       4	  1.6193	  1.8512	  1.7743	  0.1254	  2.7881	  3.7714	  3.7958	  3.8136	  0.0775	  5.0610
  2^23-1	      23	       4	  1.6193	  1.8616	  1.7782	  0.1232	  2.7081	  3.7720	  3.7964	  3.8156	  0.0715	  4.8511
  2^24-1	      24	       4	  1.6193	  1.8610	  1.7716	  0.1243	  2.5256	  3.7720	  3.7958	  3.8149	  0.0709	  5.2949
  2^25-1	      25	       4	  1.6193	  1.6302	  1.7472	  0.1293	  2.6447	  3.7720	  3.7946	  3.8168	  0.0794	  5.1501
  2^26-1	      26	       4	  1.6193	  1.8506	  1.7613	  0.1345	  3.6414	  3.7708	  3.7958	  3.8167	  0.0805	  5.1758
  2^27-1	      27	       4	  1.6193	  1.8616	  1.7930	  0.1226	  2.9138	  3.7720	  3.7958	  3.8181	  0.0875	  5.6415
  2^28-1	      28	       4	  1.6193	  1.8616	  1.7893	  0.1243	  2.8723	  3.7720	  3.7971	  3.8149	  0.0752	  4.9879
  2^29-1	      29	       5	  2.0819	  2.3132	  2.2402	  0.1457	  3.7561	  4.7260	  4.7547	  4.7822	  0.0979	  6.3795
  2^30-1	      30	       5	  2.0819	  2.3267	  2.2938	  0.1816	  4.1901	  4.7260	  4.7590	  4.7991	  0.1388	  6.8207
  2^31-1	      31	       5	  2.0819	  2.3267	  2.2920	  0.1455	  3.9392	  4.7247	  4.7553	  4.7869	  0.1219	  6.6071
  2^32-1	      32	       5	  2.0819	  2.3267	  2.2527	  0.1375	  3.7031	  4.7272	  4.7595	  4.7833	  0.0882	  6.1389
  2^33-1	      33	       5	  2.0819	  2.3267	  2.2382	  0.1303	  3.5052	  4.7254	  4.7553	  4.7807	  0.0783	  5.9308
  2^34-1	      34	       5	  2.0819	  2.3267	  2.2548	  0.1273	  3.5468	  4.7260	  4.7547	  4.7779	  0.0764	  5.9254
  2^35-1	      35	       5	  2.0819	  2.3267	  2.2378	  0.1304	  3.1074	  4.7242	  4.7547	  4.7802	  0.0856	  6.5565
  2^36-1	      36	       6	  2.7753	  2.7924	  2.8848	  0.1319	  4.1248	  5.6317	  5.6751	  5.7069	  0.0900	  7.1277
  2^37-1	      37	       6	  2.7753	  2.7918	  2.8614	  0.1194	  4.5655	  5.6318	  5.6750	  5.7092	  0.0937	  6.5906
