     val	     bit	   bytes	 enc_min	 enc_med	 enc_avg	enc_sdev	 enc_max	 dec_min	 dec_med	 dec_avg	dec_sdev	 dec_max
   2^0-1	       0	       1	  0.2325	  0.2344	  0.2388	  0.0253	  0.6702	  1.1572	  1.1646	  1.1831	  0.0610	  2.0996
   2^1-1	       1	       1	  0.2325	  0.2344	  0.2386	  0.0280	  0.7245	  1.1572	  1.1646	  1.1787	  0.0509	  1.7695
   2^2-1	       2	       1	  0.2338	  0.2344	  0.2370	  0.0203	  0.5170	  1.1639	  1.1639	  1.1744	  0.0432	  1.6650
   2^3-1	       3	       1	  0.2325	  0.2344	  0.2366	  0.0190	  0.5457	  1.1572	  1.1639	  1.1749	  0.0489	  2.0758
   2^4-1	       4	       1	  0.2325	  0.2338	  0.2360	  0.0182	  0.5023	  1.1572	  1.1639	  1.1722	  0.0439	  1.8707
   2^5-1	       5	       1	  0.2325	  0.2338	  0.2354	  0.0160	  0.5121	  1.1572	  1.1639	  1.1707	  0.0415	  1.6760
   2^6-1	       6	       1	  0.2338	  0.2344	  0.2374	  0.0231	  0.6171	  1.1639	  1.1639	  1.1770	  0.0587	  2.3950
   2^7-1	       7	       1	  0.2338	  0.2356	  0.2466	  0.0465	  0.7428	  1.1639	  1.1707	  1.2044	  0.1352	  2.9431
   2^8-1	       8	       2	  0.2338	  0.2356	  0.2386	  0.0251	  0.6287	  1.1639	  1.1707	  1.1815	  0.0593	  2.7051
   2^9-1	       9	       2	  0.2338	  0.2356	  0.2500	  0.0505	  0.9167	  1.1639	  1.1713	  1.2121	  0.1211	  2.3401
  2^10-1	      10	       2	  0.2338	  0.2356	  0.2405	  0.0305	  0.6922	  1.1639	  1.1707	  1.1857	  0.0661	  1.8597
  2^11-1	      11	       2	  0.2338	  0.2350	  0.2409	  0.0321	  0.7141	  1.1639	  1.1707	  1.1876	  0.0763	  2.0453
  2^12-1	      12	       2	  0.2338	  0.2356	  0.2421	  0.0344	  0.7642	  1.1639	  1.1707	  1.1902	  0.0703	  1.6566
  2^13-1	      13	       2	  0.2338	  0.2356	  0.2378	  0.0225	  0.5841	  1.1639	  1.1707	  1.1790	  0.0490	  1.6925
  2^14-1	      14	       2	  0.2338	  0.2344	  0.2401	  0.0341	  1.1694	  1.1639	  1.1640	  1.1837	  0.0772	  2.1223
  2^15-1	      15	       3	  0.2338	  0.2344	  0.2411	  0.0354	  1.0187	  1.1639	  1.1658	  1.1868	  0.0809	  2.0898
  2^16-1	      16	       3	  0.2338	  0.2344	  0.2414	  0.0349	  0.6476	  1.1639	  1.1652	  1.1877	  0.0836	  2.6337
  2^17-1	      17	       3	  0.2338	  0.2344	  0.2403	  0.0327	  0.5627	  1.1639	  1.1652	  1.1837	  0.0758	  1.9220
  2^18-1	      18	       3	  0.2325	  0.2344	  0.2396	  0.0308	  0.6567	  1.1572	  1.1639	  1.1807	  0.0729	  2.0300
  2^19-1	      19	       3	  0.2325	  0.2344	  0.2421	  0.0352	  0.6000	  1.1572	  1.1652	  1.1905	  0.0862	  2.0264
  2^20-1	      20	       3	  0.2338	  0.2356	  0.2687	  0.0735	  0.9333	  1.1639	  1.1713	  1.2912	  0.2554	  2.3663
  2^21-1	      21	       3	  0.2338	  0.2350	  0.2395	  0.0289	  0.7471	  1.1639	  1.1707	  1.1840	  0.0582	  1.7462
  2^22-1	      22	       4	  0.2338	  0.2356	  0.2395	  0.0289	  0.7196	  1.1639	  1.1707	  1.1832	  0.0614	  1.8433
  2^23-1	      23	       4	  0.2338	  0.2356	  0.2370	  0.0190	  0.6952	  1.1639	  1.1707	  1.1779	  0.0471	  2.4903
  2^24-1	      24	       4	  0.2338	  0.2356	  0.2375	  0.0221	  0.6818	  1.1639	  1.1707	  1.1772	  0.0415	  1.6199
  2^25-1	      25	       4	  0.2338	  0.2356	  0.2372	  0.0199	  0.6201	  1.1639	  1.1707	  1.1776	  0.0446	  2.0453
  2^26-1	      26	       4	  0.2338	  0.2350	  0.2375	  0.0211	  0.7440	  1.1639	  1.1707	  1.1791	  0.0504	  2.4109
  2^27-1	      27	       4	  0.2325	  0.2350	  0.2381	  0.0228	  0.5505	  1.1572	  1.1707	  1.1818	  0.0596	  2.3090
  2^28-1	      28	       4	  0.2338	  0.2356	  0.2406	  0.0344	  1.0297	  1.1639	  1.1707	  1.1868	  0.0779	  3.1952
  2^29-1	      29	       5	  0.2338	  0.2356	  0.2445	  0.0520	  2.2717	  1.1639	  1.1707	  1.1985	  0.1222	  4.2701
  2^30-1	      30	       5	  0.2338	  0.2350	  0.2414	  0.0338	  0.7233	  1.1639	  1.1707	  1.1889	  0.0867	  3.6115
  2^31-1	      31	       5	  0.2325	  0.2344	  0.2426	  0.0468	  1.7310	  1.1572	  1.1639	  1.1882	  0.0900	  2.2552
  2^32-1	      32	       5	  0.2325	  0.2344	  0.2414	  0.0346	  0.7868	  1.1572	  1.1646	  1.1872	  0.0788	  2.2181
  2^33-1	      33	       5	  0.2338	  0.2350	  0.2463	  0.0461	  0.8014	  1.1639	  1.1707	  1.2002	  0.1094	  2.1027
  2^34-1	      34	       5	  0.2325	  0.2350	  0.2441	  0.0390	  0.7037	  1.1572	  1.1707	  1.1959	  0.0959	  2.2363
  2^35-1	      35	       5	  0.2338	  0.2344	  0.2392	  0.0316	  0.7502	  1.1639	  1.1639	  1.1775	  0.0612	  1.8390
  2^36-1	      36	       6	  0.2338	  0.2350	  0.2417	  0.0371	  1.1554	  1.1639	  1.1707	  1.1918	  0.1027	  2.6733
  2^37-1	      37	       6	  0.2325	  0.2356	  0.2458	  0.0450	  0.9674	  1.1572	  1.1707	  1.2081	  0.1559	  3.7385
  2^38-1	      38	       6	  0.2338	  0.2356	  0.2438	  0.0403	  0.8081	  1.1639	  1.1707	  1.2006	  0.1300	  2.6251
  2^39-1	      39	       6	  0.2338	  0.2356	  0.2425	  0.0378	  1.1261	  1.1639	  1.1707	  1.1978	  0.1204	  2.5946
  2^40-1	      40	       6	  0.2338	  0.2356	  0.2392	  0.0388	  1.8439	  1.1639	  1.1707	  1.1849	  0.0762	  2.6599
  2^41-1	      41	       6	  0.2338	  0.2356	  0.2447	  0.0416	  0.8472	  1.1639	  1.1707	  1.1953	  0.0878	  2.4848
  2^42-1	      42	       6	  0.2338	  0.2356	  0.2545	  0.0571	  0.7111	  1.1639	  1.1707	  1.2224	  0.1407	  2.6166
  2^43-1	      43	       7	  0.2338	  0.2356	  0.2576	  0.0624	  0.7837	  1.1639	  1.1707	  1.2357	  0.1761	  2.4023
  2^44-1	      44	       7	  0.2338	  0.2356	  0.2447	  0.0423	  0.8569	  1.1639	  1.1707	  1.1961	  0.0938	  2.3938
  2^45-1	      45	       7	  0.2338	  0.2350	  0.2432	  0.0388	  1.1542	  1.1639	  1.1707	  1.1906	  0.0766	  1.9172
  2^46-1	      46	       7	  0.2325	  0.2344	  0.2408	  0.0324	  0.7343	  1.1572	  1.1646	  1.1873	  0.1009	  4.5691
  2^47-1	      47	       7	  0.2338	  0.2350	  0.2490	  0.0495	  0.6726	  1.1639	  1.1707	  1.2102	  0.1320	  2.5361
  2^48-1	      48	       7	  0.2338	  0.2344	  0.2379	  0.0339	  1.5002	  1.1639	  1.1646	  1.1780	  0.0524	  2.3621
  2^49-1	      49	       7	  0.2338	  0.2350	  0.2448	  0.0429	  0.6860	  1.1639	  1.1707	  1.1982	  0.1107	  2.7179
  2^50-1	      50	       8	  0.2338	  0.2350	  0.2509	  0.0568	  1.4307	  1.1639	  1.1707	  1.2133	  0.1324	  1.9049
  2^51-1	      51	       8	  0.2338	  0.2356	  0.2516	  0.0539	  0.8832	  1.1639	  1.1707	  1.2156	  0.1323	  2.0874
  2^52-1	      52	       8	  0.2338	  0.2356	  0.2450	  0.0476	  1.4929	  1.1639	  1.1707	  1.1957	  0.0986	  2.0850
  2^53-1	      53	       8	  0.2338	  0.2344	  0.2364	  0.0181	  0.6605	  1.1639	  1.1646	  1.1763	  0.0492	  1.7236
  2^54-1	      54	       8	  0.2338	  0.2344	  0.2456	  0.0458	  1.0468	  1.1639	  1.1707	  1.1997	  0.1113	  1.9214
  2^55-1	      55	       8	  0.2338	  0.2350	  0.2491	  0.0515	  0.9729	  1.1639	  1.1707	  1.2126	  0.1379	  2.7911
  2^56-1	      56	       8	  0.2338	  0.2344	  0.2396	  0.0295	  0.6195	  1.1639	  1.1646	  1.1828	  0.0747	  2.3377
  2^57-1	      57	       9	  0.4663	  0.4664	  0.5035	  0.1099	  1.2292	  0.9314	  0.9314	  0.9589	  0.0835	  2.6233
  2^58-1	      58	       9	  0.4663	  0.4663	  0.5057	  0.1094	  1.3464	  0.9314	  0.9314	  0.9599	  0.0804	  1.9250
  2^59-1	      59	       9	  0.4633	  0.4669	  0.5032	  0.1066	  1.0046	  0.9259	  0.9315	  0.9607	  0.0828	  1.7285
  2^60-1	      60	       9	  0.4663	  0.4669	  0.4837	  0.0726	  1.0095	  0.9314	  0.9320	  0.9472	  0.0583	  1.4801
  2^61-1	      61	       9	  0.4633	  0.4663	  0.4730	  0.0438	  0.9216	  0.9259	  0.9314	  0.9372	  0.0377	  1.4600
  2^62-1	      62	       9	  0.4633	  0.4663	  0.5016	  0.1061	  1.0352	  0.9259	  0.9314	  0.9578	  0.0790	  1.6266
