     val	     bit	   bytes	 enc_min	 enc_med	 enc_avg	enc_sdev	 enc_max	 dec_min	 dec_med	 dec_avg	dec_sdev	 dec_max
   2^0-1	       0	       1	  0.2325	  0.2350	  0.2524	  0.0537	  0.8807	  0.9259	  0.9369	  0.9621	  0.0883	  2.7460
   2^1-1	       1	       1	  0.2325	  0.2344	  0.2568	  0.0647	  0.9827	  0.9259	  0.9314	  0.9604	  0.0826	  2.2327
   2^2-1	       2	       1	  0.2338	  0.2344	  0.2572	  0.0658	  1.6901	  0.9314	  0.9321	  0.9633	  0.0789	  1.6876
   2^3-1	       3	       1	  0.2325	  0.2344	  0.2596	  0.0695	  0.9454	  0.9259	  0.9320	  0.9668	  0.0894	  3.1866
   2^4-1	       4	       1	  0.2338	  0.2344	  0.2528	  0.0578	  0.9491	  0.9314	  0.9314	  0.9565	  0.0763	  2.3505
   2^5-1	       5	       1	  0.2338	  0.2344	  0.2479	  0.0503	  0.7825	  0.9314	  0.9314	  0.9491	  0.0586	  1.5546
   2^6-1	       6	       1	  0.2338	  0.2344	  0.2588	  0.0658	  0.8240	  0.9314	  0.9320	  0.9663	  0.0952	  3.1122
   2^7-1	       7	       1	  0.2325	  0.2344	  0.2388	  0.0280	  0.7990	  0.9259	  0.9320	  0.9426	  0.0438	  1.4240
   2^8-1	       8	       2	  0.4639	  0.4694	  0.4744	  0.0401	  0.8923	  0.9259	  0.9369	  0.9437	  0.0478	  1.4587
   2^9-1	       9	       3	  0.4663	  0.4694	  0.4749	  0.0439	  1.0266	  0.9314	  0.9369	  0.9448	  0.0538	  1.4386
  2^10-1	      10	       3	  0.4663	  0.4694	  0.4734	  0.0322	  1.0535	  0.9314	  0.9369	  0.9436	  0.0429	  1.4185
  2^11-1	      11	       3	  0.4663	  0.4694	  0.4725	  0.0295	  0.8612	  0.9314	  0.9369	  0.9431	  0.0441	  1.6724
  2^12-1	      12	       3	  0.4633	  0.4669	  0.4759	  0.0486	  0.9625	  0.9259	  0.9320	  0.9458	  0.0637	  1.7963
  2^13-1	      13	       3	  0.4663	  0.4694	  0.4728	  0.0314	  0.9766	  0.9314	  0.9369	  0.9416	  0.0396	  1.7310
  2^14-1	      14	       3	  0.4663	  0.4694	  0.4779	  0.0495	  0.9894	  0.9314	  0.9369	  0.9483	  0.0572	  1.5784
  2^15-1	      15	       3	  0.4663	  0.4669	  0.4764	  0.0481	  0.9839	  0.9314	  0.9320	  0.9449	  0.0533	  1.4478
  2^16-1	      16	       3	  0.4663	  0.4669	  0.4881	  0.0817	  1.4771	  0.9314	  0.9315	  0.9581	  0.0962	  1.8231
  2^17-1	      17	       4	  0.4639	  0.4669	  0.4763	  0.0503	  1.3605	  0.9259	  0.9320	  0.9452	  0.0607	  2.8503
  2^18-1	      18	       4	  0.4663	  0.4669	  0.4729	  0.0445	  2.1039	  0.9314	  0.9314	  0.9403	  0.0444	  1.6803
  2^19-1	      19	       4	  0.4663	  0.4669	  0.4790	  0.0582	  1.2311	  0.9314	  0.9315	  0.9493	  0.0684	  1.6528
  2^20-1	      20	       4	  0.4663	  0.4669	  0.4741	  0.0420	  1.0211	  0.9314	  0.9315	  0.9420	  0.0499	  2.0300
  2^21-1	      21	       4	  0.4633	  0.4669	  0.4715	  0.0323	  1.0138	  0.9259	  0.9314	  0.9407	  0.0497	  2.0105
  2^22-1	      22	       4	  0.4633	  0.4669	  0.4739	  0.0456	  1.0962	  0.9259	  0.9314	  0.9410	  0.0514	  1.5674
  2^23-1	      23	       4	  0.4633	  0.4669	  0.5162	  0.1231	  1.3129	  0.9259	  0.9315	  1.0012	  0.1730	  3.6200
  2^24-1	      24	       4	  0.4663	  0.4694	  0.5008	  0.1089	  1.3818	  0.9314	  0.9369	  0.9909	  0.1845	  2.5970
  2^25-1	      25	       5	  0.4663	  0.4669	  0.4715	  0.0345	  1.6705	  0.9314	  0.9320	  0.9396	  0.0324	  1.2878
  2^26-1	      26	       5	  0.4663	  0.4669	  0.4710	  0.0288	  0.9570	  0.9314	  0.9314	  0.9383	  0.0415	  2.3169
  2^27-1	      27	       5	  0.4639	  0.4669	  0.4710	  0.0283	  0.8490	  0.9259	  0.9315	  0.9395	  0.0399	  1.4759
  2^28-1	      28	       5	  0.4639	  0.4669	  0.4720	  0.0325	  1.1481	  0.9259	  0.9320	  0.9419	  0.0418	  1.3751
  2^29-1	      29	       5	  0.4663	  0.4688	  0.4734	  0.0364	  1.0144	  0.9314	  0.9369	  0.9431	  0.0502	  2.2803
  2^30-1	      30	       5	  0.4663	  0.4694	  0.4733	  0.0317	  0.8466	  0.9314	  0.9369	  0.9433	  0.0425	  1.5217
  2^31-1	      31	       5	  0.4663	  0.4694	  0.4733	  0.0308	  0.8405	  0.9314	  0.9369	  0.9433	  0.0415	  1.3904
  2^32-1	      32	       5	  0.4663	  0.4694	  0.4758	  0.0408	  0.9601	  0.9314	  0.9369	  0.9471	  0.0520	  1.7725
  2^33-1	      33	       6	  0.4663	  0.4694	  0.4742	  0.0344	  1.0309	  0.9314	  0.9369	  0.9463	  0.0494	  1.4838
  2^34-1	      34	       6	  0.4663	  0.4694	  0.4775	  0.0456	  1.0065	  0.9314	  0.9369	  0.9491	  0.0614	  2.4371
  2^35-1	      35	       6	  0.4663	  0.4694	  0.5287	  0.1543	  1.3239	  0.9314	  0.9369	  0.9784	  0.1061	  1.8140
  2^36-1	      36	       6	  0.4633	  0.4694	  0.4756	  0.0389	  1.0168	  0.9259	  0.9369	  0.9460	  0.0464	  1.3696
  2^37-1	      37	       6	  0.4633	  0.4694	  0.4743	  0.0354	  0.8752	  0.9259	  0.9369	  0.9448	  0.0438	  1.5173
  2^38-1	      38	       6	  0.4633	  0.4669	  0.4719	  0.0289	  0.8295	  0.9259	  0.9320	  0.9408	  0.0387	  1.4124
  2^39-1	      39	       6	  0.4663	  0.4663	  0.4715	  0.0319	  0.9552	  0.9314	  0.9315	  0.9398	  0.0376	  1.3434
  2^40-1	      40	       6	  0.4663	  0.4669	  0.4752	  0.0416	  1.0175	  0.9314	  0.9321	  0.9436	  0.0454	  1.4606
  2^41-1	      41	       7	  0.4663	  0.4669	  0.4723	  0.0347	  1.5112	  0.9314	  0.9320	  0.9415	  0.0507	  2.2980
